x;y;z;rho_b
298;11;1;0.00600441
299;11;1;0.00670064
300;11;1;0.00694815
301;11;1;0.00670066
302;11;1;0.00600445
294;12;1;0.00741312
295;12;1;0.0108925
296;12;1;0.0147262
297;12;1;0.0184698
298;12;1;0.0216236
299;12;1;0.0237306
300;12;1;0.0244712
301;12;1;0.0237307
302;12;1;0.0216237
303;12;1;0.0184699
304;12;1;0.0147263
305;12;1;0.0108927
306;12;1;0.00741325
291;13;1;0.00527049
292;13;1;0.00970675
293;13;1;0.0160642
294;13;1;0.0242267
295;13;1;0.0337013
296;13;1;0.0436526
297;13;1;0.0530218
298;13;1;0.0607055
299;13;1;0.0657476
300;13;1;0.0675037
301;13;1;0.0657477
302;13;1;0.0607058
303;13;1;0.0530221
304;13;1;0.043653
305;13;1;0.0337017
306;13;1;0.0242271
307;13;1;0.0160645
308;13;1;0.00970696
309;13;1;0.00527064
290;14;1;0.00888721
291;14;1;0.016855
292;14;1;0.0286122
293;14;1;0.0442013
294;14;1;0.0629374
295;14;1;0.0833594
296;14;1;0.103489
297;14;1;0.121303
298;14;1;0.135129
299;14;1;0.143828
300;14;1;0.146789
301;14;1;0.143828
302;14;1;0.13513
303;14;1;0.121304
304;14;1;0.10349
305;14;1;0.0833602
306;14;1;0.0629382
307;14;1;0.044202
308;14;1;0.0286128
309;14;1;0.0168554
310;14;1;0.00888748
288;15;1;0.00562082
289;15;1;0.0126536
290;15;1;0.0248222
291;15;1;0.0433286
292;15;1;0.0684357
293;15;1;0.0989044
294;15;1;0.131972
295;15;1;0.164213
296;15;1;0.192643
297;15;1;0.215381
298;15;1;0.231647
299;15;1;0.241332
300;15;1;0.24454
301;15;1;0.241332
302;15;1;0.231648
303;15;1;0.215382
304;15;1;0.192644
305;15;1;0.164214
306;15;1;0.131973
307;15;1;0.0989058
308;15;1;0.0684369
309;15;1;0.0433296
310;15;1;0.0248229
311;15;1;0.0126541
312;15;1;0.00562107
287;16;1;0.00653616
