x;y;z;rho_b
49;48;35;0.00525011
50;48;35;0.00506781
48;49;35;0.00525011
49;49;35;0.00581531
50;49;35;0.00561302
48;50;35;0.00506781
49;50;35;0.00561302
50;50;35;0.00541791
48;44;36;0.00577593
49;44;36;0.00639852
50;44;36;0.00617597
51;44;36;0.00519249
46;45;36;0.0059773
47;45;36;0.00872207
48;45;36;0.0110967
49;45;36;0.0122974
50;45;36;0.0118674
51;45;36;0.00997438
52;45;36;0.00730181
45;46;36;0.0059773
46;46;36;0.00999933
47;46;36;0.0145807
48;46;36;0.0185135
49;46;36;0.0204843
50;46;36;0.0197802
51;46;36;0.0166576
52;46;36;0.0122195
53;46;36;0.00780287
45;47;36;0.00872207
46;47;36;0.0145807
47;47;36;0.0211904
48;47;36;0.0267952
49;47;36;0.0295851
50;47;36;0.0285896
51;47;36;0.0241624
52;47;36;0.0177912
53;47;36;0.011392
54;47;36;0.0063428
44;48;36;0.00577593
45;48;36;0.0110967
46;48;36;0.0185135
47;48;36;0.0267952
48;48;36;0.0337554
49;48;36;0.0372227
50;48;36;0.0359859
51;48;36;0.0304894
52;48;36;0.0225507
53;48;36;0.0144852
54;48;36;0.00807097
44;49;36;0.00639852
45;49;36;0.0122974
46;49;36;0.0204843
47;49;36;0.0295851
48;49;36;0.0372227
49;49;36;0.0409833
50;49;36;0.0396435
51;49;36;0.0336458
52;49;36;0.0249243
53;49;36;0.016045
54;49;36;0.00894552
44;50;36;0.00617597
45;50;36;0.0118674
46;50;36;0.0197802
47;50;36;0.0285896
48;50;36;0.0359859
49;50;36;0.0396435
50;50;36;0.0383404
51;50;36;0.0325186
52;50;36;0.0240778
53;50;36;0.0154872
54;50;36;0.0086317
44;51;36;0.00519249
45;51;36;0.00997438
46;51;36;0.0166576
47;51;36;0.0241624
48;51;36;0.0304894
49;51;36;0.0336458
50;51;36;0.0325186
51;51;36;0.0275174
52;51;36;0.0203107
53;51;36;0.0130235
54;51;36;0.00725377
45;52;36;0.00730181
46;52;36;0.0122195
47;52;36;0.0177912
48;52;36;0.0225507
49;52;36;0.0249243
50;52;36;0.0240778
51;52;36;0.0203107
52;52;36;0.014924
53;52;36;0.00954057
54;52;36;0.00531467
46;53;36;0.00780287
47;53;36;0.011392
48;53;36;0.0144852
49;53;36;0.016045
50;53;36;0.0154872
51;53;36;0.0130235
52;53;36;0.00954057
53;53;36;0.00609449
47;54;36;0.0063428
48;54;36;0.00807097
49;54;36;0.00894552
50;54;36;0.0086317
51;54;36;0.00725377
52;54;36;0.00531467
47;42;37;0.00500496
48;42;37;0.00636879
49;42;37;0.00706093
50;42;37;0.00681276
51;42;37;0.00572319
45;43;37;0.00518604
46;43;37;0.00865895
47;43;37;0.012628
48;43;37;0.0160444
49;43;37;0.017766
50;43;37;0.0171497
51;43;37;0.0144283
52;43;37;0.0105804
53;43;37;0.0067603
44;44;37;0.00594213
45;44;37;0.0113521
46;44;37;0.0189005
47;44;37;0.0273222
48;44;37;0.0344013
49;44;37;0.0379055
50;44;37;0.0366592
51;44;37;0.0310715
52;44;37;0.0230024
53;44;37;0.0147945
54;44;37;0.00827101
43;45;37;0.00518604
44;45;37;0.0113521
45;45;37;0.0215805
46;45;37;0.0353453
47;45;37;0.050178
48;45;37;0.0621633
49;45;37;0.0679226
50;45;37;0.0658859
51;45;37;0.0565964
52;45;37;0.0426253
53;45;37;0.0279264
54;45;37;0.015791
55;45;37;0.0077134
43;46;37;0.00865895
44;46;37;0.0189005
45;46;37;0.0353453
46;46;37;0.0566787
47;46;37;0.0784392
48;46;37;0.0953533
49;46;37;0.103347
50;46;37;0.100517
51;46;37;0.0875593
52;46;37;0.067522
53;46;37;0.04529
54;46;37;0.0261251
55;46;37;0.0128837
56;46;37;0.00547326
42;47;37;0.00500496
43;47;37;0.012628
