x;y;z;rho_r;rho_b;psi
49;47;36;0.989753;0.00524084;0.989466
50;47;36;0.989012;0.00562178;0.988696
51;47;36;0.989754;0.00524236;0.989463
48;48;36;0.988255;0.00602127;0.987888
49;48;36;0.985495;0.00742288;0.985048
50;48;36;0.984414;0.00795882;0.98396
51;48;36;0.985492;0.00742618;0.985042
52;48;36;0.988251;0.00602765;0.987875
47;49;36;0.989753;0.00524084;0.989466
48;49;36;0.985495;0.00742288;0.985048
49;49;36;0.982097;0.00914411;0.98155
50;49;36;0.98081;0.00980334;0.980208
51;49;36;0.98209;0.00915012;0.981538
52;49;36;0.985482;0.00743423;0.985025
53;49;36;0.989736;0.0052555;0.989436
47;50;36;0.989012;0.00562178;0.988696
48;50;36;0.984414;0.00795882;0.98396
49;50;36;0.98081;0.00980334;0.980208
50;50;36;0.979414;0.0105077;0.978771
51;50;36;0.980797;0.00981273;0.980189
52;50;36;0.98439;0.00797619;0.983925
53;50;36;0.988981;0.00564366;0.988652
47;51;36;0.989754;0.00524236;0.989463
48;51;36;0.985492;0.00742618;0.985042
49;51;36;0.98209;0.00915012;0.981538
50;51;36;0.980797;0.00981273;0.980189
51;51;36;0.982071;0.009163;0.981512
52;51;36;0.985455;0.00744935;0.984995
53;51;36;0.989709;0.00527062;0.989406
48;52;36;0.988251;0.00602765;0.987875
49;52;36;0.985482;0.00743423;0.985025
50;52;36;0.98439;0.00797619;0.983925
51;52;36;0.985455;0.00744935;0.984995
52;52;36;0.988205;0.00605426;0.987822
49;53;36;0.989736;0.0052555;0.989436
50;53;36;0.988981;0.00564366;0.988652
51;53;36;0.989709;0.00527062;0.989406
49;44;37;0.989224;0.00554648;0.988849
50;44;37;0.988438;0.00595593;0.988021
51;44;37;0.98923;0.00554546;0.988851
47;45;37;0.986867;0.00676001;0.986393
48;45;37;0.981272;0.00962142;0.98058
49;45;37;0.97678;0.0118961;0.975935
50;45;37;0.975044;0.0127677;0.974149
51;45;37;0.976786;0.0118954;0.975937
52;45;37;0.981281;0.00962123;0.980581
53;45;37;0.986875;0.00676167;0.98639
46;46;37;0.984947;0.00774704;0.984392
47;46;37;0.975335;0.0126405;0.974411
48;46;37;0.96492;0.0179111;0.963552
49;46;37;0.956775;0.0220505;0.954945
50;46;37;0.953698;0.0236284;0.951647
51;46;37;0.956778;0.0220519;0.954942
52;46;37;0.96492;0.0179158;0.963543
53;46;37;0.97533;0.0126501;0.974392
54;46;37;0.984936;0.00775994;0.984366
45;47;37;0.986867;0.00676001;0.986393
46;47;37;0.975335;0.0126405;0.974411
47;47;37;0.95984;0.0205064;0.958165
48;47;37;0.943452;0.0288028;0.940751
49;47;37;0.930859;0.0352105;0.927106
50;47;37;0.926152;0.037638;0.921896
51;47;37;0.930852;0.0352175;0.927091
52;47;37;0.943431;0.0288194;0.940716
53;47;37;0.959801;0.0205335;0.958109
54;47;37;0.975287;0.0126736;0.974344
55;47;37;0.986822;0.00679086;0.986331
45;48;37;0.981272;0.00962142;0.98058
46;48;37;0.96492;0.0179111;0.963552
47;48;37;0.943452;0.0288028;0.940751
48;48;37;0.92123;0.0400816;0.91661
49;48;37;0.904425;0.0486392;0.897931
50;48;37;0.898129;0.0518077;0.890924
51;48;37;0.904398;0.0486564;0.897894
52;48;37;0.921169;0.04012;0.916529
53;48;37;0.943356;0.0288607;0.940629
54;48;37;0.964806;0.0179783;0.963413
55;48;37;0.981171;0.00968216;0.980457
44;49;37;0.989224;0.00554648;0.988849
45;49;37;0.97678;0.0118961;0.975935
46;49;37;0.956775;0.0220505;0.954945
47;49;37;0.930859;0.0352105;0.927106
48;49;37;0.904425;0.0486392;0.897931
49;49;37;0.884632;0.0586465;0.875654
50;49;37;0.877273;0.0623362;0.867315
51;49;37;0.884573;0.0586802;0.875579
52;49;37;0.904303;0.0487099;0.897777
53;49;37;0.930676;0.035313;0.926887
54;49;37;0.956571;0.0221658;0.954705
55;49;37;0.976601;0.0119969;0.975729
56;49;37;0.9891;0.00561645;0.988707
44;50;37;0.988438;0.00595593;0.988021
45;50;37;0.975044;0.0127677;0.974149
46;50;37;0.953698;0.0236284;0.951647
47;50;37;0.926152;0.037638;0.921896
48;50;37;0.898129;0.0518077;0.890924
49;50;37;0.877273;0.0623362;0.867315
50;50;37;0.869562;0.0662288;0.858454
51;50;37;0.877171;0.0623927;0.867188
52;50;37;0.897922;0.0519206;0.890675
53;50;37;0.925865;0.0377965;0.921557
54;50;37;0.953385;0.0237981;0.951293
55;50;37;0.974782;0.012911;0.973856
56;50;37;0.988257;0.00605221;0.987826
44;51;37;0.98923;0.00554546;0.988851
45;51;37;0.976786;0.0118954;0.975937
46;51;37;0.956778;0.0220519;0.954942
47;51;37;0.930852;0.0352175;0.927091
48;51;37;0.904398;0.0486564;0.897894
49;51;37;0.884573;0.0586802;0.875579
50;51;37;0.877171;0.0623927;0.867188
51;51;37;0.884419;0.0587638;0.875392
52;51;37;0.904099;0.0488172;0.897542
53;51;37;0.930456;0.0354303;0.926637
54;51;37;0.956373;0.0222694;0.954489
55;51;37;0.976452;0.0120708;0.975578
56;51;37;0.989013;0.00565922;0.988621
45;52;37;0.981281;0.00962123;0.980581
46;52;37;0.96492;0.0179158;0.963543
47;52;37;0.943431;0.0288194;0.940716
48;52;37;0.921169;0.04012;0.916529
49;52;37;0.904303;0.0487099;0.897777
50;52;37;0.897922;0.0519206;0.890675
51;52;37;0.904099;0.0488172;0.897542
52;52;37;0.920802;0.0403202;0.916098
53;52;37;0.942964;0.0290663;0.940195
54;52;37;0.964462;0.0181545;0.963049
55;52;37;0.980928;0.00980537;0.980206
45;53;37;0.986875;0.00676167;0.98639
46;53;37;0.97533;0.0126501;0.974392
47;53;37;0.959801;0.0205335;0.958109
48;53;37;0.943356;0.0288607;0.940629
49;53;37;0.930676;0.035313;0.926887
50;53;37;0.925865;0.0377965;0.921557
51;53;37;0.930456;0.0354303;0.926637
52;53;37;0.942964;0.0290663;0.940195
53;53;37;0.959331;0.0207771;0.957602
54;53;37;0.974899;0.0128732;0.973935
55;53;37;0.986551;0.00692485;0.986059
46;54;37;0.984936;0.00775994;0.984366
47;54;37;0.975287;0.0126736;0.974344
48;54;37;0.964806;0.0179783;0.963413
49;54;37;0.956571;0.0221658;0.954705
50;54;37;0.953385;0.0237981;0.951293
51;54;37;0.956373;0.0222694;0.954489
52;54;37;0.964462;0.0181545;0.963049
53;54;37;0.974899;0.0128732;0.973935
54;54;37;0.984588;0.00793343;0.984014
47;55;37;0.986822;0.00679086;0.986331
48;55;37;0.981171;0.00968216;0.980457
49;55;37;0.976601;0.0119969;0.975729
50;55;37;0.974782;0.012911;0.973856
51;55;37;0.976452;0.0120708;0.975578
52;55;37;0.980928;0.00980537;0.980206
53;55;37;0.986551;0.00692485;0.986059
49;56;37;0.9891;0.00561645;0.988707
50;56;37;0.988257;0.00605221;0.987826
51;56;37;0.989013;0.00565922;0.988621
50;42;38;0.990252;0.0050433;0.989866
47;43;38;0.985486;0.0074998;0.984894
48;43;38;0.97923;0.0106843;0.978414
49;43;38;0.974206;0.0132181;0.973227
50;43;38;0.972298;0.0141918;0.971228
51;43;38;0.97422;0.0132132;0.973237
52;43;38;0.979252;0.0106774;0.978428
53;43;38;0.985508;0.00749451;0.984905
45;44;38;0.988442;0.00599745;0.987938
46;44;38;0.978218;0.0112101;0.97734
47;44;38;0.964362;0.0182544;0.962845
48;44;38;0.949538;0.0257848;0.947126
49;44;38;0.938066;0.0316439;0.934735
50;44;38;0.933743;0.0338625;0.930008
51;44;38;0.938087;0.0316356;0.934753
52;44;38;0.949568;0.0257744;0.947148
53;44;38;0.964387;0.018249;0.962857
54;44;38;0.97823;0.0112124;0.977336
55;44;38;0.988445;0.00600452;0.987924
44;45;38;0.988442;0.00599745;0.987938
45;45;38;0.975086;0.0127949;0.974096
46;45;38;0.953621;0.0237122;0.951476
47;45;38;0.925652;0.0378435;0.921445
48;45;38;0.897285;0.0523248;0.889797
49;45;38;0.876033;0.063122;0.865577
50;45;38;0.868165;0.0670848;0.856542
