time;PosX;PosY;v_x;v_y;Re
10;299.948;29.9394;-0.00549522;-0.00521439;-11.7411
20;299.982;29.9815;0.0014615;0.00269334;6.0645
30;299.988;30.003;8.97503e-05;0.00192665;4.33818
40;299.987;30.0241;0.000362962;0.00258078;5.81104
50;299.989;30.0481;-0.000927748;0.00144495;3.25354
60;299.976;30.0609;-0.00083303;0.00193914;4.3663
70;299.972;30.0888;-0.000297623;0.00316588;7.1285
80;299.969;30.1196;-0.000391433;0.002889;6.50506
90;299.966;30.149;-0.000237445;0.0031503;7.09343
100;299.963;30.1803;-0.0002969;0.00294756;6.63691
110;299.959;30.2079;-0.00034379;0.00301939;6.79865
120;299.956;30.2445;-0.00032294;0.00402136;9.05475
130;299.953;30.2851;-0.000356315;0.00410634;9.2461
140;299.949;30.3275;-0.00036522;0.00452488;10.1885
150;299.945;30.3744;-0.000378734;0.00484371;10.9064
160;299.942;30.4238;-0.000368593;0.00513768;11.5683
170;299.938;30.478;-0.000355014;0.00565245;12.7274
180;299.935;30.5369;-0.00035175;0.00600324;13.5173
190;299.931;30.599;-0.000351921;0.00636359;14.3287
200;299.928;30.6644;-0.000346635;0.00675978;15.2208
210;299.924;30.734;-0.000346952;0.00714214;16.0817
220;299.921;30.8069;-0.000336993;0.00747516;16.8316
230;299.917;30.8835;-0.000330181;0.00778711;17.534
240;299.913;30.9635;-0.000337418;0.00809966;18.2377
250;299.911;31.0462;-0.000328504;0.00841205;18.9411
260;299.907;31.1327;-0.000324378;0.00875214;19.7069
270;299.904;31.2217;-0.000320552;0.00908416;20.4545
280;299.901;31.3135;-0.000315185;0.00941089;21.1902
290;299.898;31.4093;-0.000309644;0.00975113;21.9563
300;299.894;31.5081;-0.000306644;0.0100809;22.6989
310;299.891;31.6116;-0.000300363;0.0104277;23.4798
320;299.888;31.717;-0.000294492;0.0107497;24.2048
330;299.884;31.8264;-0.000298029;0.0110783;24.9447
340;299.881;31.9397;-0.000293322;0.0114136;25.6997
350;299.879;32.0554;-0.000278722;0.0117402;26.4351
360;299.876;32.1744;-0.000268743;0.0120653;27.167
370;299.874;32.2967;-0.000255803;0.0123894;27.8969
380;299.871;32.4216;-0.000245126;0.012701;28.5984
390;299.869;32.5514;-0.000237613;0.0130306;29.3406
400;299.866;32.6827;-0.000233747;0.0133386;30.034
410;299.863;32.8181;-0.000234085;0.0136564;30.7497
420;299.861;32.9562;-0.000231108;0.0139663;31.4475
430;299.859;33.0969;-0.000211451;0.0142677;32.1261
440;299.857;33.2419;-0.000199618;0.014584;32.8382
450;299.856;33.3893;-0.000184172;0.0148892;33.5255
460;299.854;33.5394;-0.000181217;0.0151873;34.1968
470;299.852;33.6943;-0.000175713;0.015507;34.9166
480;299.85;33.8495;-0.000175104;0.0157897;35.553
490;299.848;34.0094;-0.000168868;0.016093;36.236
500;299.847;34.1714;-0.000156456;0.0163817;36.8862
510;299.846;34.3377;-0.000135072;0.0166848;37.5685
520;299.845;34.5059;-0.000127393;0.0169738;38.2193
530;299.844;34.6774;-0.000124346;0.0172665;38.8785
540;299.842;34.8506;-0.000120372;0.017542;39.4988
550;299.841;35.0285;-0.000109694;0.01784;40.1697
560;299.84;35.2078;-0.000104292;0.0181153;40.7896
570;299.84;35.3908;-9.17377e-05;0.018399;41.4285
580;299.838;35.5759;-9.4782e-05;0.0186742;42.0481
590;299.838;35.7641;-8.40793e-05;0.0189501;42.6693
600;299.837;35.9554;-8.28792e-05;0.0192273;43.2934
610;299.836;36.1487;-7.66214e-05;0.0194932;43.8921
620;299.835;36.3458;-7.67544e-05;0.0197719;44.5197
630;299.835;36.5449;-7.01419e-05;0.0200401;45.1236
640;299.835;36.746;-6.43684e-05;0.0202971;45.7022
650;299.833;36.9514;-7.2593e-05;0.0205709;46.3188
660;299.833;37.1579;-7.06044e-05;0.0208228;46.886
670;299.832;37.3675;-7.18172e-05;0.0210813;47.4681
680;299.832;37.5798;-6.45696e-05;0.0213413;48.0534
690;299.831;37.794;-6.81874e-05;0.0215887;48.6105
700;299.83;38.0123;-7.39418e-05;0.0218519;49.2032
710;299.83;38.2317;-6.79229e-05;0.0220951;49.7507
720;299.829;38.4537;-6.89435e-05;0.0223397;50.3016
730;299.829;38.6782;-6.51454e-05;0.0225854;50.8547
740;299.827;38.9062;-7.87105e-05;0.0228411;51.4305
750;299.827;39.1365;-7.7557e-05;0.023091;51.9933
760;299.826;39.3677;-7.73678e-05;0.0233225;52.5145
770;299.825;39.6013;-7.9853e-05;0.0235499;53.0265
780;299.823;39.8383;-9.5863e-05;0.0237886;53.5641
790;299.822;40.0791;-9.91358e-05;0.0240485;54.1491
800;299.822;40.3199;-9.81108e-05;0.0242722;54.653
810;299.821;40.5637;-0.000104339;0.024504;55.1748
820;299.819;40.8101;-0.000120324;0.0247367;55.6989
830;299.818;41.0589;-0.000126701;0.024972;56.2287
840;299.816;41.3101;-0.000132712;0.0252079;56.7598
850;299.815;41.5627;-0.000140086;0.0254279;57.255
860;299.813;41.8176;-0.000153627;0.0256443;57.7424
870;299.812;42.0758;-0.000161724;0.0258808;58.275
880;299.81;42.3363;-0.000170355;0.0261146;58.8014
890;299.809;42.5983;-0.000172193;0.0263344;59.2963
900;299.807;42.8626;-0.000185772;0.0265525;59.7874
910;299.804;43.1296;-0.000202339;0.0267772;60.2933
920;299.803;43.3986;-0.00020686;0.0269986;60.7919
930;299.801;43.6703;-0.000223888;0.0272266;61.3052
940;299.799;43.9427;-0.000227419;0.027431;61.7654
950;299.796;44.2186;-0.000239455;0.0276493;62.257
960;299.795;44.4967;-0.000233821;0.0278617;62.7353
970;299.792;44.7767;-0.000257237;0.0280735;63.2121
980;299.789;45.0574;-0.000273012;0.0282602;63.6325
990;299.786;45.3419;-0.000281619;0.0284741;64.1142
1000;299.784;45.628;-0.000293744;0.0286827;64.5838
1010;299.781;45.9156;-0.000304667;0.02889;65.0507
1020;299.777;46.2052;-0.000317659;0.0290937;65.5093
1030;299.775;46.4981;-0.000321231;0.0293139;66.0051
1040;299.771;46.7916;-0.000337828;0.0295162;66.4607
1050;299.768;47.088;-0.000344746;0.0297276;66.9366
1060;299.765;47.3869;-0.000348715;0.0299361;67.4061
1070;299.761;47.6874;-0.000366576;0.0301443;67.8749
1080;299.757;47.9899;-0.000371561;0.0303472;68.3317
1090;299.753;48.2946;-0.000383646;0.0305513;68.7914
1100;299.749;48.601;-0.000398781;0.0307546;69.2491
1110;299.745;48.9091;-0.000411411;0.0309506;69.6905
1120;299.741;49.2212;-0.000415407;0.0311752;70.1962
1130;299.737;49.5328;-0.000426517;0.0313602;70.6127
1140;299.731;49.8476;-0.000452133;0.0315621;71.0674
1150;299.728;50.1646;-0.000455937;0.0317596;71.512
1160;299.723;50.4821;-0.000479466;0.031941;71.9205
1170;299.717;50.8037;-0.000497919;0.0321517;72.3948
1180;299.713;51.1269;-0.000474503;0.0323516;72.8451
1190;299.708;51.4504;-0.000447787;0.0325306;73.2481
1200;299.704;51.7771;-0.000423547;0.0327179;73.6697
1210;299.7;52.1061;-0.000414012;0.0329037;74.0881
1220;299.695;52.4349;-0.000448966;0.0330713;74.4654
1230;299.69;52.7668;-0.000489732;0.0332556;74.8804
1240;299.686;53.101;-0.000505089;0.0334441;75.3049
1250;299.679;53.4356;-0.000531977;0.0336114;75.6817
1260;299.674;53.7729;-0.000520446;0.0337878;76.0788
1270;299.67;54.1126;-0.000491194;0.0339695;76.4879
1280;299.664;54.4526;-0.000491852;0.0341321;76.854
1290;299.659;54.7947;-0.000479547;0.0342959;77.2229
1300;299.655;55.1396;-0.000477385;0.0344758;77.628
1310;299.65;55.4844;-0.000480445;0.0346338;77.9838
1320;299.645;55.8318;-0.000475821;0.0347933;78.343
1330;299.64;56.1811;-0.000474816;0.0349632;78.7254
1340;299.635;56.5315;-0.000474887;0.0351187;79.0755
1350;299.631;56.8836;-0.000465563;0.0352757;79.429
1360;299.626;57.2373;-0.000469882;0.0354361;79.7904
1370;299.622;57.5923;-0.00046399;0.035586;80.1277
1380;299.617;57.9485;-0.000457265;0.0357313;80.4549
1390;299.613;58.3072;-0.000450796;0.0358894;80.8109
1400;299.608;58.6668;-0.000454703;0.0360279;81.1227
1410;299.604;59.0284;-0.00043985;0.0361763;81.457
1420;299.6;59.3905;-0.000427422;0.0363078;81.753
1430;299.596;59.7541;-0.000415235;0.036436;82.0418
1440;299.592;60.12;-0.000405379;0.0365863;82.3801
1450;299.588;60.4864;-0.000403859;0.0367167;82.6739
1460;299.585;60.8537;-0.000387291;0.0368465;82.966
1470;299.58;61.2236;-0.000392981;0.0369977;83.3065
1480;299.576;61.5949;-0.000397733;0.0371345;83.6144
1490;299.573;61.9655;-0.000377514;0.0372522;83.8796
1500;299.567;62.3403;-0.000393791;0.0374074;84.2289
1510;299.564;62.7142;-0.000380051;0.03752;84.4825
1520;299.56;63.0899;-0.000381633;0.0376426;84.7586
1530;299.556;63.4684;-0.000375847;0.0377812;85.0707
1540;299.553;63.8458;-0.000365868;0.0378907;85.3171
1550;299.548;64.2251;-0.000376569;0.0380036;85.5715
1560;299.546;64.6068;-0.000360581;0.0381356;85.8687
1570;299.542;64.9884;-0.000363674;0.0382418;86.1078
1580;299.537;65.3721;-0.000367682;0.0383617;86.3778
1590;299.534;65.7561;-0.000359316;0.0384744;86.6316
1600;299.53;66.141;-0.0003626;0.0385734;86.8544
1610;299.528;66.5279;-0.000351432;0.0386886;87.1139
1620;299.523;66.9152;-0.000357094;0.0387919;87.3465
1630;299.519;67.3038;-0.000367559;0.0388904;87.5682
1640;299.516;67.6935;-0.000357794;0.0390014;87.8181
1650;299.513;68.0843;-0.000357853;0.0390996;88.0393
1660;299.509;68.4754;-0.000358362;0.0391927;88.2489
1670;299.505;68.8685;-0.000367038;0.0393016;88.4942
1680;299.502;69.2622;-0.000360476;0.0393954;88.7052
1690;299.498;69.6564;-0.000360212;0.0394872;88.9119
1700;299.494;70.0525;-0.000363453;0.039586;89.1345
1710;299.49;70.4477;-0.000373372;0.0396621;89.3057
1720;299.488;70.8463;-0.000362562;0.0397704;89.5496
1730;299.483;71.244;-0.000376647;0.0398518;89.7329
1740;299.48;71.6428;-0.000368747;0.0399377;89.9264
1750;299.476;72.044;-0.000382118;0.0400362;90.1482
1760;299.472;72.4436;-0.000380866;0.0401135;90.3222
1770;299.468;72.8461;-0.000385639;0.0402021;90.5217
1780;299.464;73.2481;-0.000396145;0.0402816;90.7008
1790;299.46;73.6506;-0.000394007;0.0403476;90.8494
1800;299.456;74.0559;-0.000403349;0.0404418;91.0613
1810;299.452;74.46;-0.00040306;0.0405142;91.2245
1820;299.448;74.8672;-0.000407504;0.0406057;91.4306
1830;299.445;75.2728;-0.000403297;0.0406738;91.5838
1840;299.439;75.6796;-0.000420629;0.0407418;91.7369
1850;299.436;76.0882;-0.000416963;0.040826;91.9266
1860;299.432;76.4971;-0.000425663;0.0409031;92.1002
1870;299.427;76.9065;-0.000432079;0.0409657;92.241
1880;299.424;77.3164;-0.000426974;0.0410418;92.4125
1890;299.419;77.7275;-0.00043769;0.0411072;92.5597
1900;299.415;78.139;-0.000444566;0.0411811;92.726
1910;299.409;78.5516;-0.00046047;0.0412519;92.8856
1920;299.405;78.9644;-0.000470009;0.0413176;93.0333
1930;299.401;79.3786;-0.000467011;0.0413941;93.2057
1940;299.396;79.7926;-0.000474707;0.0414525;93.3372
1950;299.393;80.2078;-0.000464575;0.0415343;93.5213
1960;299.386;80.6247;-0.000488792;0.0416103;93.6924
1970;299.382;81.0395;-0.000491566;0.0416611;93.807
1980;299.377;81.4579;-0.000500036;0.0417444;93.9944
1990;299.372;81.8748;-0.000505311;0.0417948;94.108
2000;299.367;82.2938;-0.000507602;0.0418711;94.2798
2010;299.362;82.7135;-0.00051373;0.041939;94.4326
2020;299.356;83.1319;-0.000527931;0.0419826;94.5309
2030;299.351;83.5543;-0.000531792;0.04207;94.7275
2040;299.346;83.9739;-0.000536885;0.0421158;94.8308
2050;299.34;84.3965;-0.000545952;0.0421884;94.9942
2060;299.334;84.818;-0.000557991;0.0422433;95.1177
2070;299.329;85.2411;-0.000567291;0.0422969;95.2384
2080;299.322;85.6647;-0.000583709;0.0423639;95.3893
2090;299.317;86.0883;-0.00058579;0.0424142;95.5027
2100;299.311;86.5142;-0.000596907;0.0424878;95.6683
2110;299.305;86.9387;-0.000601686;0.0425402;95.7864
2120;299.299;87.3648;-0.000604769;0.0425947;95.9091
2130;299.292;87.7911;-0.000623248;0.0426615;96.0594
2140;299.286;88.218;-0.000626907;0.0427106;96.1701
2150;299.28;88.6456;-0.000642096;0.0427715;96.3071
2160;299.274;89.0736;-0.000641165;0.0428297;96.4382
2170;299.267;89.5029;-0.000658947;0.0428907;96.5755
2180;299.26;89.9319;-0.000668975;0.0429512;96.7118
2190;299.254;90.3619;-0.000670292;0.0430004;96.8224
2200;299.247;90.793;-0.000675665;0.0430731;96.9863
2210;299.24;91.2236;-0.000686048;0.0431142;97.0788
2220;299.233;91.6556;-0.000695945;0.043189;97.2473
2230;299.227;92.0882;-0.000698215;0.0432428;97.3683
2240;299.221;92.5201;-0.000697063;0.0432831;97.4591
2250;299.213;92.9541;-0.00071067;0.0433518;97.6138
