time;PosX;PosY;v_x;v_y;Re;alpha;a
10;299.948;29.9394;-0.00549522;-0.00521439;-11.7411;0.7874462598716999;15.14192754881498
20;299.982;29.9815;0.0014615;0.00269334;6.0645;-0.7491818079844134;14.963773663156722
30;299.988;30.003;897503e-10;0.00192665;4.33818;-0.7303657190203381;14.972362197914368
40;299.987;30.0241;362962e-9;0.00258078;5.81104;-0.7072978242422991;14.980735180257211
50;299.989;30.0481;-927748e-9;0.00144495;3.25354;-0.7288259817839868;14.954841386736787
60;299.976;30.0609;-83303e-8;0.00193914;4.3663;-0.7264650163475268;14.954254627927249
70;299.972;30.0888;-297623e-9;0.00316588;7.1285;0.7695652323972952;15.049048883992938
80;299.969;30.1196;-391433e-9;0.002889;6.50506;-0.7368947244971249;14.94825809860402
90;299.966;30.149;-237445e-9;0.0031503;7.09343;-0.6914111534836358;14.942186838355058
100;299.963;30.1803;-2969e-7;0.00294756;6.63691;-0.6242601951235112;14.935980850440515
110;299.959;30.2079;-34379e-8;0.00301939;6.79865;-0.6067734630824415;14.93187212510578
120;299.956;30.2445;-32294e-8;0.00402136;9.05475;-0.6481460684211664;14.930410214732927
130;299.953;30.2851;-356315e-9;0.00410634;9.2461;-0.6165186404568194;14.92715983132251
140;299.949;30.3275;-36522e-8;0.00452488;10.1885;-0.6040990584152164;14.92496181426588
150;299.945;30.3744;-378734e-9;0.00484371;10.9064;-0.580804101841754;14.922779330796477
160;299.942;30.4238;-368593e-9;0.00513768;11.5683;-0.5872149319703504;14.921100498165668
170;299.938;30.478;-355014e-9;0.00565245;12.7274;-0.5969468026657141;14.920478386341717
180;299.935;30.5369;-35175e-8;0.00600324;13.5173;-0.6075271075519402;14.92121231730044
190;299.931;30.599;-351921e-9;0.00636359;14.3287;-0.6127305966233398;14.92285325980058
200;299.928;30.6644;-346635e-9;0.00675978;15.2208;-0.6198660507897197;14.923402713039888
210;299.924;30.734;-346952e-9;0.00714214;16.0817;-0.6099991489080212;14.923971247644417
220;299.921;30.8069;-336993e-9;0.00747516;16.8316;-0.5892649175999415;14.923484731735776
230;299.917;30.8835;-330181e-9;0.00778711;17.534;-0.5670503519640608;14.923509105911428
240;299.913;30.9635;-337418e-9;0.00809966;18.2377;-0.5565050540042638;14.92614249450093
250;299.911;31.0462;-328504e-9;0.00841205;18.9411;-0.5428366942505944;14.928044190121742
260;299.907;31.1327;-324378e-9;0.00875214;19.7069;-0.5291914872183762;14.931647143133327
270;299.904;31.2217;-320552e-9;0.00908416;20.4545;-0.5173530682663063;14.935527091490032
280;299.901;31.3135;-315185e-9;0.00941089;21.1902;-0.5210290282366491;14.940555113734177
290;299.898;31.4093;-309644e-9;0.00975113;21.9563;-0.5204674294745982;14.94531392671368
300;299.894;31.5081;-306644e-9;0.0100809;22.6989;-0.5396179732189923;14.95202393183271
310;299.891;31.6116;-300363e-9;0.0104277;23.4798;-0.56179363186211;14.95901532964165
320;299.888;31.717;-294492e-9;0.0107497;24.2048;-0.6090382172943125;14.965756530512518
330;299.884;31.8264;-298029e-9;0.0110783;24.9447;-0.6764263750650594;14.972368879735379
340;299.881;31.9397;-293322e-9;0.0114136;25.6997;0.732977208661554;15.021949797509576
350;299.879;32.0554;-278722e-9;0.0117402;26.4351;0.49956957974271543;15.01742131466341
360;299.876;32.1744;-268743e-9;0.0120653;27.167;0.2703799670062299;15.018756677267735
370;299.874;32.2967;-255803e-9;0.0123894;27.8969;0.07632529151348984;15.02410889294572
380;299.871;32.4216;-245126e-9;0.012701;28.5984;-0.04935255927105066;15.032903800225451
390;299.869;32.5514;-237613e-9;0.0130306;29.3406;-0.10296420159137427;15.0437314797625
400;299.866;32.6827;-233747e-9;0.0133386;30.034;-0.13988799176945532;15.056560982088905
410;299.863;32.8181;-234085e-9;0.0136564;30.7497;-0.15626150052821372;15.069646012912994
420;299.861;32.9562;-231108e-9;0.0139663;31.4475;-0.16950920925418822;15.08307806561095
430;299.859;33.0969;-211451e-9;0.0142677;32.1261;-0.17769946791938768;15.097476914014948
440;299.857;33.2419;-199618e-9;0.014584;32.8382;-0.18217460103114502;15.109644195419527
450;299.856;33.3893;-184172e-9;0.0148892;33.5255;-0.18566713161469023;15.124955823184319
460;299.854;33.5394;-181217e-9;0.0151873;34.1968;-0.17981305916065585;15.140407547720557
470;299.852;33.6943;-175713e-9;0.015507;34.9166;-0.18041758921416745;15.157352737793266
480;299.85;33.8495;-175104e-9;0.0157897;35.553;-0.17724253548970068;15.173671693088242
490;299.848;34.0094;-168868e-9;0.016093;36.236;-0.17722065471655274;15.190406590339443
500;299.847;34.1714;-156456e-9;0.0163817;36.8862;-0.17305807140312046;15.208768701676922
510;299.846;34.3377;-135072e-9;0.0166848;37.5685;-0.1687698077514536;15.226090633976495
520;299.845;34.5059;-127393e-9;0.0169738;38.2193;-0.16236574162988654;15.245059904605359
530;299.844;34.6774;-124346e-9;0.0172665;38.8785;-0.15773666714231757;15.2640397802035
540;299.842;34.8506;-120372e-9;0.017542;39.4988;-0.15288076779262916;15.28345556114558
550;299.841;35.0285;-109694e-9;0.01784;40.1697;-0.14775821285209056;15.30373889341746
560;299.84;35.2078;-104292e-9;0.0181153;40.7896;-0.1434108003959535;15.32521164045097
570;299.84;35.3908;-917377e-10;0.018399;41.4285;-0.13763413428251975;15.346134088745586
580;299.838;35.5759;-94782e-9;0.0186742;42.0481;-0.13065454719551403;15.367555692807912
590;299.838;35.7641;-840793e-10;0.0189501;42.6693;-0.12733145130127327;15.389915903430213
600;299.837;35.9554;-828792e-10;0.0192273;43.2934;-0.12151229740096128;15.412666304179341
610;299.836;36.1487;-766214e-10;0.0194932;43.8921;-0.11684568522727562;15.435904199281346
620;299.835;36.3458;-767544e-10;0.0197719;44.5197;-0.11074895971132792;15.461441570040392
630;299.835;36.5449;-701419e-10;0.0200401;45.1236;-0.10604364331432012;15.483700183477005
640;299.835;36.746;-643684e-10;0.0202971;45.7022;-0.10183805011509688;15.50755618258636
650;299.833;36.9514;-72593e-9;0.0205709;46.3188;-0.09715623443111127;15.532756850995073
660;299.833;37.1579;-706044e-10;0.0208228;46.886;-0.09226968304203301;15.558565957481573
670;299.832;37.3675;-718172e-10;0.0210813;47.4681;-0.08710242106147892;15.585051508461842
680;299.832;37.5798;-645696e-10;0.0213413;48.0534;-0.08310757718288232;15.609806006270603
690;299.831;37.794;-681874e-10;0.0215887;48.6105;-0.07903598893952216;15.635551166580763
700;299.83;38.0123;-739418e-10;0.0218519;49.2032;-0.07592393375301043;15.66186864316727
710;299.83;38.2317;-679229e-10;0.0220951;49.7507;-0.07138423775542808;15.690593278511853
720;299.829;38.4537;-689435e-10;0.0223397;50.3016;-0.06792576601309502;15.716881683797485
730;299.829;38.6782;-651454e-10;0.0225854;50.8547;-0.06399729130375044;15.742639945060567
740;299.827;38.9062;-787105e-10;0.0228411;51.4305;-0.060904827139781056;15.769129197562929
750;299.827;39.1365;-77557e-9;0.023091;51.9933;-0.0578644279424045;15.796924101513941
760;299.826;39.3677;-773678e-10;0.0233225;52.5145;-0.0547836322334804;15.82377504295403
770;299.825;39.6013;-79853e-9;0.0235499;53.0265;-0.05142852742723454;15.85160889636222
780;299.823;39.8383;-95863e-9;0.0237886;53.5641;-0.04841836965102698;15.879593291172043
790;299.822;40.0791;-991358e-10;0.0240485;54.1491;-0.04578454004399853;15.905668972715699
800;299.822;40.3199;-981108e-10;0.0242722;54.653;-0.04343214235345653;15.932887463034163
810;299.821;40.5637;-104339e-9;0.024504;55.1748;-0.03976488466947057;15.960192405170712
820;299.819;40.8101;-120324e-9;0.0247367;55.6989;-0.03751733054106315;15.989311164103043
830;299.818;41.0589;-126701e-9;0.024972;56.2287;-0.03527345746110526;16.014264027132537
840;299.816;41.3101;-132712e-9;0.0252079;56.7598;-0.033097248885741636;16.040037613815144
850;299.815;41.5627;-140086e-9;0.0254279;57.255;-0.03004579107707917;16.066818583889237
860;299.813;41.8176;-153627e-9;0.0256443;57.7424;-0.02776744926251084;16.09535367497176
870;299.812;42.0758;-161724e-9;0.0258808;58.275;-0.026484533370579526;16.119898359324765
880;299.81;42.3363;-170355e-9;0.0261146;58.8014;-0.024200645068375604;16.145373159129395
890;299.809;42.5983;-172193e-9;0.0263344;59.2963;-0.021714525155703244;16.17214730882457
900;299.807;42.8626;-185772e-9;0.0265525;59.7874;-0.01963406255496362;16.19818000070263
910;299.804;43.1296;-202339e-9;0.0267772;60.2933;-0.01832830465424215;16.223478213372154
920;299.803;43.3986;-20686e-8;0.0269986;60.7919;-0.016128325172505953;16.24751195500489
930;299.801;43.6703;-223888e-9;0.0272266;61.3052;-0.013834718895309977;16.27374225713968
