time;alpha;a
10;0.7874462598716999;15.14192754881498
20;-0.7491818079844134;14.963773663156722
30;-0.7303657190203381;14.972362197914368
40;-0.7072978242422991;14.980735180257211
50;-0.7288259817839868;14.954841386736787
60;-0.7264650163475268;14.954254627927249
70;0.7695652323972952;15.049048883992938
80;-0.7368947244971249;14.94825809860402
90;-0.6914111534836358;14.942186838355058
100;-0.6242601951235112;14.935980850440515
110;-0.6067734630824415;14.93187212510578
120;-0.6481460684211664;14.930410214732927
130;-0.6165186404568194;14.92715983132251
140;-0.6040990584152164;14.92496181426588
150;-0.580804101841754;14.922779330796477
160;-0.5872149319703504;14.921100498165668
170;-0.5969468026657141;14.920478386341717
180;-0.6075271075519402;14.92121231730044
190;-0.6127305966233398;14.92285325980058
200;-0.6198660507897197;14.923402713039888
210;-0.6099991489080212;14.923971247644417
220;-0.5892649175999415;14.923484731735776
230;-0.5670503519640608;14.923509105911428
240;-0.5565050540042638;14.92614249450093
250;-0.5428366942505944;14.928044190121742
260;-0.5291914872183762;14.931647143133327
270;-0.5173530682663063;14.935527091490032
280;-0.5210290282366491;14.940555113734177
290;-0.5204674294745982;14.94531392671368
300;-0.5396179732189923;14.95202393183271
310;-0.56179363186211;14.95901532964165
320;-0.6090382172943125;14.965756530512518
330;-0.6764263750650594;14.972368879735379
340;0.732977208661554;15.021949797509576
350;0.49956957974271543;15.01742131466341
360;0.2703799670062299;15.018756677267735
370;0.07632529151348984;15.02410889294572
380;-0.04935255927105066;15.032903800225451
390;-0.10296420159137427;15.0437314797625
400;-0.13988799176945532;15.056560982088905
410;-0.15626150052821372;15.069646012912994
420;-0.16950920925418822;15.08307806561095
430;-0.17769946791938768;15.097476914014948
440;-0.18217460103114502;15.109644195419527
450;-0.18566713161469023;15.124955823184319
460;-0.17981305916065585;15.140407547720557
470;-0.18041758921416745;15.157352737793266
480;-0.17724253548970068;15.173671693088242
490;-0.17722065471655274;15.190406590339443
500;-0.17305807140312046;15.208768701676922
510;-0.1687698077514536;15.226090633976495
520;-0.16236574162988654;15.245059904605359
530;-0.15773666714231757;15.2640397802035
540;-0.15288076779262916;15.28345556114558
550;-0.14775821285209056;15.30373889341746
560;-0.1434108003959535;15.32521164045097
570;-0.13763413428251975;15.346134088745586
580;-0.13065454719551403;15.367555692807912
590;-0.12733145130127327;15.389915903430213
600;-0.12151229740096128;15.412666304179341
610;-0.11684568522727562;15.435904199281346
620;-0.11074895971132792;15.461441570040392
630;-0.10604364331432012;15.483700183477005
640;-0.10183805011509688;15.50755618258636
650;-0.09715623443111127;15.532756850995073
660;-0.09226968304203301;15.558565957481573
670;-0.08710242106147892;15.585051508461842
680;-0.08310757718288232;15.609806006270603
690;-0.07903598893952216;15.635551166580763
700;-0.07592393375301043;15.66186864316727
710;-0.07138423775542808;15.690593278511853
720;-0.06792576601309502;15.716881683797485
730;-0.06399729130375044;15.742639945060567
740;-0.060904827139781056;15.769129197562929
750;-0.0578644279424045;15.796924101513941
760;-0.0547836322334804;15.82377504295403
770;-0.05142852742723454;15.85160889636222
780;-0.04841836965102698;15.879593291172043
790;-0.04578454004399853;15.905668972715699
800;-0.04343214235345653;15.932887463034163
810;-0.03976488466947057;15.960192405170712
820;-0.03751733054106315;15.989311164103043
830;-0.03527345746110526;16.014264027132537
840;-0.033097248885741636;16.040037613815144
850;-0.03004579107707917;16.066818583889237
860;-0.02776744926251084;16.09535367497176
870;-0.026484533370579526;16.119898359324765
880;-0.024200645068375604;16.145373159129395
890;-0.021714525155703244;16.17214730882457
900;-0.01963406255496362;16.19818000070263
910;-0.01832830465424215;16.223478213372154
920;-0.016128325172505953;16.24751195500489
930;-0.013834718895309977;16.27374225713968
940;-0.012119167430274032;16.298293438397224
950;-0.010994919190393502;16.32312722826888
960;-0.009514179986811692;16.348190309306936
970;-0.0072196806817925365;16.370580391333682
980;-0.006388221107600187;16.39490230444926
990;-0.004872322811607184;16.417073232277556
1e3;-0.0032644005695062466;16.440706178872183
1010;-0.002199503861861583;16.46256478324311
1020;-0.0014053956791312047;16.48625785346527
1030;-0.00018772353871119386;16.509035241095617
1040;0.0015758066313977645;16.52931639632266
1050;0.0017841786086970285;16.55117245130348
1060;0.0025452855921542557;16.574433598584058
1070;0.004144679583305909;16.59343800060921
1080;0.004219966336912647;16.61481875382228
1090;0.004617961468187701;16.637346640515766
1100;0.00581145852925075;16.655791343424898
1110;0.006110468082096997;16.67573602551047
1120;0.00617204866499574;16.697800340181388
1130;0.006707126021935005;16.71749039176813
1140;0.0073385940241568574;16.73747199864075
1150;0.006766427742415168;16.76039207653502
1160;0.006921613762709692;16.781293578970434
1170;0.007223654023135088;16.800263528428555
1180;0.006672583307446315;16.821770514370417
1190;0.006575375378532315;16.840727318783554
1200;0.006631331922314788;16.85993954996957
1210;0.005791419111623591;16.882893918330502
1220;0.005529580978069458;16.90354095698813
1230;0.005380353287587028;16.924943683943265
1240;0.00426243409944692;16.947836772617848
1250;0.003882057357061229;16.96879337814757
1260;0.0033876824330583803;16.99137035043826
1270;0.0025565467890507386;17.01441993248318
1280;0.0019950202215413566;17.036639873046404
1290;0.0011251376360640868;17.0609598606514
1300;0.00025346341163465447;17.084179752985204
1310;-0.0003366004300871678;17.106179945755173
1320;-0.0013612056767397483;17.13214703229964
1330;-0.0023602006297600733;17.154651072474735
1340;-0.0029131668822579295;17.179951765717977
1350;-0.004000912361231342;17.205383495354475
1360;-0.004790943449616329;17.2285571505028
1370;-0.005553219531191577;17.253287774632057
1380;-0.006516509646534318;17.277547484250583
1390;-0.00753774648889434;17.30066833680369
1400;-0.008001974049971407;17.326883511346676
1410;-0.009054767438925667;17.35173790795453
1420;-0.009941796191164039;17.376925549225113
1430;-0.01057602057050532;17.40524265580329
1440;-0.011518988285585036;17.430701970033265
1450;-0.012175784765701613;17.458224185574323
1460;-0.013108804149422814;17.486022716188746
1470;-0.013600497054443161;17.512470421836884
1480;-0.013933896670666572;17.541356410641505
1490;-0.01505522347056105;17.569396232304506
1500;-0.0153961670067561;17.595278364257133
1510;-0.0160354106136748;17.62321794829696
1520;-0.016498027746086982;17.6522862056909
1530;-0.016922869544589197;17.680218952661427
1540;-0.017679121723115344;17.70653621268493
1550;-0.017777214000722442;17.736008222693588
1560;-0.018193246865177426;17.761956992567427
1570;-0.018591542568869607;17.792387831256054
1580;-0.019016732824004713;17.82111521564692
1590;-0.01936148260436538;17.848036244816807
1600;-0.01941208645289394;17.878256155034606
1610;-0.01979586956725793;17.905952967981356
1620;-0.02001493950656898;17.93510359933815
1630;-0.020156388546827386;17.967504767181865
1640;-0.020440270271565104;17.993319564350955
1650;-0.020466127878356315;18.024368908606768
1660;-0.020656185938790025;18.053314270002943
1670;-0.020681129427887794;18.081727342133394
1680;-0.02083941028503171;18.1137272732297
1690;-0.020944976546045616;18.142410600612443
1700;-0.021033875291780996;18.173241815219583
1710;-0.020957955982120705;18.20435435552707
1720;-0.02091987875404111;18.233080719625313
1730;-0.021019657335498747;18.263590490061972
1740;-0.02122841289612705;18.2931056929539
1750;-0.02097009566485661;18.32480614561345
1760;-0.021255470866783144;18.353778486786226
1770;-0.02095377747003266;18.384864128547363
1780;-0.021060091165008003;18.413645508004542
1790;-0.02132164235324943;18.44737543360397
1800;-0.021010936230920756;18.476018418932526
1810;-0.02113256250911554;18.50604770429065
1820;-0.020844135831153493;18.53818316061372
1830;-0.021097499287335952;18.5670068233359
1840;-0.02104871838471393;18.59831589869843
1850;-0.02091852103306627;18.626821361752143
1860;-0.020932154519137054;18.65711208981907
1870;-0.02074845582188393;18.68919435158565
1880;-0.020738614188396703;18.716217976751818
1890;-0.020621552994189055;18.749129221352188
1900;-0.020514358532951964;18.776272250553742
1910;-0.020631513594465193;18.80636158178028
1920;-0.020343898659820878;18.836562112785224
1930;-0.02028214167056866;18.865624423845347
1940;-0.02030022090820463;18.896826084206275
1950;-0.020294061206172855;18.92280045972633
1960;-0.019982534240429617;18.955275742833898
1970;-0.019892440775755513;18.982530465317037
1980;-0.01990094825968994;19.010689759041334
1990;-0.019889757484507095;19.040877115785797
2e3;-0.01967821295605285;19.06763364925866
2010;-0.019625033223921673;19.095965805435082
2020;-0.01949825955101921;19.124422721158254
2030;-0.019406150440118945;19.15260870509232
2040;-0.019392516347739436;19.180004594093894
2050;-0.0191453874933366;19.20703597215853
2060;-0.019150712885067846;19.233115434479124
2070;-0.0189004457217537;19.264025096814553
2080;-0.01883871183430589;19.287415681383226
2090;-0.018670090343062315;19.315613821147444
2100;-0.01842521555404877;19.34184188089845
2110;-0.01853445583558168;19.366857962834224
2120;-0.018377576676772263;19.39431020718161
2130;-0.018268379643076853;19.416787250559025
2140;-0.01807658217408849;19.445627744800078
2150;-0.017857782785687774;19.468735717361568
2160;-0.017901792495464905;19.493836621205435
2170;-0.017628513860596304;19.51916335435129
2180;-0.017555928069673515;19.54202981914652
2190;-0.01735132262346436;19.571131379622898
2200;-0.017364312779687002;19.591432299971224
2210;-0.01719710445424877;19.61738166839484
2220;-0.016984668454896726;19.637468401264535
2230;-0.017008267871318213;19.663442446232303
2240;-0.01691520480244997;19.686330493648498
2250;-0.01671323645224002;19.707946687056992
2260;-0.01674390128582036;19.733639326335727
2270;-0.016560365201680798;19.753359113215744
2280;-0.016505922257999475;19.77911539204832
2290;-0.0162922786023491;19.798999010883016
2300;-0.016313431008646354;19.821717887921785
2310;-0.016177732272468645;19.845304181500023
2320;-0.016137506289028748;19.86427594253777
2330;-0.01600297162354984;19.88689400261962
2340;-0.016055642351298402;19.906506845058324
2350;-0.01588221187816477;19.92950561944476
2360;-0.015961266442851927;19.95048592474801
2370;-0.015864154195608014;19.973509581337808
2380;-0.01580198122792887;19.99505600168567
2390;-0.015886274398465666;20.013394284957442
2400;-0.015721771062330164;20.03498931894279
2410;-0.015804383773715288;20.055467195873504
2420;-0.015706924944353207;20.076244192232494
2430;-0.015741817492709184;20.09689385016398
2440;-0.015683900850879236;20.11727823036081
2450;-0.01576453077991245;20.139036259776297
2460;-0.01568985259655669;20.15805207104392
2470;-0.01575420190037162;20.178402053587828
2480;-0.015826599513556364;20.198052543467817
2490;-0.015911826628695797;20.217502165831057
2500;-0.015793534715937585;20.238803816391798
2510;-0.01574728076753786;20.255609329501908
2520;-0.01597102287993741;20.278529728941354
2530;-0.015813966605638687;20.2948700552071
2540;-0.016100108012084717;20.31669461566171
2550;-0.01596815594517768;20.334558276093855
2560;-0.01613190464857081;20.354030973315133
2570;-0.016159973322838132;20.374055234542013
2580;-0.016287235692876736;20.392124632305627
2590;-0.01621294576341257;20.414569819236526
2600;-0.01629771108935999;20.43075565373262
2610;-0.016389376348211977;20.456220675603436
2620;-0.01633466664824944;20.470171794841555
2630;-0.016511248425049967;20.492391128989794
2640;-0.016484238082570976;20.507476891603652
2650;-0.016540877204503552;20.52889473599207
2660;-0.016642435418899402;20.544484045281315
2670;-0.016789555339492182;20.563595765327612
2680;-0.01677124609196674;20.58125747532539
